Rank,Polish,English
1472,najlepszym,best
1473,lewo,left
1474,zdaje,pass
1475,bobby,bobby
1476,t,t
1477,niezłe,not bad
1478,zasady,rules
1479,żyjesz,you live
1480,zapomnieć,forget
1481,mogłabym,I could
1482,siostry,sister
1483,jakiej,what
1484,urodziny,birthday
1485,zapłacić,pay
1486,matkę,mother
1487,danny,Danny
1488,mocy,power
1489,siedzieć,sit
1490,niezła,bad
1491,staram,try
1492,zdobyć,to win
1493,lee,Lee
1494,damy,ladies
1495,gotów,ready
1496,dowód,proof
1497,wyprawiasz,do
1498,kochać,love
1499,sądzie,court
1500,ładna,pretty
1501,pieprzyć,fuck
1502,komuś,on
1503,telewizji,television
1504,święta,holidays
1505,rząd,government
1506,steve,steve
1507,wybaczyć,forgive
1508,związku,compound
1509,wybór,choice
1510,chłopaka,boy
1511,miłego,nice
1512,pora,time
1513,wyjdź,come out
1514,idźcie,go
1515,martwi,dead
1516,chodzić,go
1517,nieco,little
1518,j,d
1519,problemu,problem
1520,stał,steel
1521,atak,attack
1522,próbował,tried
1523,głupia,stupid
1524,zobaczmy,Let's see
1525,gorzej,worse
1526,informacje,information
1527,godzina,time
1528,książkę,book
1529,uczucie,feeling
1530,wyjaśnić,to explain
1531,każda,each
1532,głowa,head
1533,ej,ej
1534,przyjemność,pleasure
1535,związek,relationship
1536,lekarza,doctor
1537,znamy,we know
1538,rzeczywiście,actually
1539,zdrowie,health
1540,przychodzi,comes
1541,rozumie,understands
1542,błagam,beggar
1543,boską,gorgeous
1544,byśmy,we would
1545,mieszkanie,apartment
1546,odpowiedzi,answers
1547,wysoki,high
1548,głodny,hungry
1549,kolej,rail
1550,wiedziała,she knew
1551,córkę,daughter
1552,najlepszego,best
1553,tuż,next door
1554,przeciw,against
1555,chwilkę,tender
1556,potrzebował,needed
1557,zostałem,I stayed
1558,pierwszą,first
1559,adres,address
1560,imieniu,named
1561,próbuje,try
1562,innymi,other
1563,kuchni,cuisine
1564,żyją,live
1565,ruch,motion
1566,zróbmy,let
1567,prosze,Please
1568,latach,years
1569,przede,primarily
1570,dałem,I gave
1571,poczekać,wait
1572,osiem,eight
1573,wyszedł,left
1574,brać,to take
1575,banku,bank
1576,okno,window
1577,gości,guests
1578,zabij,kill
1579,firmy,companies
1580,ciąży,pregnancy
1581,jake,Jake
1582,odłóż,put down
1583,wrócisz,you will come back
1584,śniadanie,breakfast
1585,mistrzu,master
1586,różne,various
1587,wierzyć,believe
1588,tommy,tommy
1589,przyszłości,future
1590,króla,king
1591,synem,son
1592,spójrzcie,look
1593,widzicie,you see
1594,przysługę,a favor
1595,pobliżu,nearby
1596,czekam,I'm waiting
1597,leży,lies
1598,zabrał,took
1599,dawna,former
1600,dolców,male
1601,program,program
1602,usa,USA
1603,zadanie,task
1604,plany,plans
1605,małego,small
1606,r,r
1607,dwoje,two
1608,pracował,work
1609,oddać,give back
1610,mężczyzn,men
1611,ładne,nice
1612,mogłabyś,you could
1613,wobec,to
1614,spojrzeć,look
1615,rana,wound
1616,wyjdzie,come out
1617,szalony,insane
1618,wrażenie,impression
1619,nasi,our
1620,kończy,end
1621,biały,White
1622,mężczyzną,man
1623,szukasz,you are looking
1624,żegnaj,farewell
1625,córki,daughters
1626,siê,myself
1627,świetne,great
1628,szuka,search
1629,gliny,clay
1630,zniszczyć,destroy
1631,spadaj,get lost
1632,chętnie,gladly
1633,weekend,weekend
1634,podać,to give
1635,pociąg,train
1636,usta,mouth
1637,otwarte,Open
1638,moimi,mine
1639,pierwszego,first
1640,powinni,they should
1641,bezpieczeństwa,safety
1642,użyć,use
1643,uratować,save
1644,faceci,guys
1645,zginął,died
1646,własną,own
1647,dala,far
1648,czarny,black
1649,wojnę,war
1650,zostawił,he left
1651,słów,words
1652,dziewczynka,girl
1653,dumny,proud
1654,bliżej,closer
1655,spodoba,applause
1656,rodzaj,type
1657,owszem,yes
1658,generale,general
1659,ilu,how many
1660,zabawy,funny
1661,wziął,incur
1662,tysiące,thousands
1663,zabiłem,I killed
1664,stare,old
1665,stop,Stop
1666,nieprawdaż,unknown
1667,pierdol,pierdol
1668,mecz,game
1669,konia,horse
1670,świetna,great
1671,chciałby,would like
1672,dostanę,I will get
1673,zgodnie,according
1674,rodziną,family
1675,pański,your
1676,kasę,cash
1677,strzelać,shoot
1678,obudź,wake up
1679,rzuć,thrust
1680,morderstwo,murder
1681,wspaniała,gorgeous
1682,potrzebny,necessary
1683,każdą,each
1684,zwłaszcza,especially
1685,dotykaj,touch
1686,przyszła,she came
1687,nieba,skies
1688,opuścić,leave
1689,znalazłeś,you found
1690,biurze,office
1691,momencie,moment
1692,zabawa,game
1693,siedzi,sit
1694,budynku,building
1695,grę,game
1696,umiem,I can
1697,linii,line
1698,podejdź,approach
1699,informacji,information
1700,niewiele,few
1701,umiesz,you can
1702,przodu,front
1703,wraca,return
1704,zespół,team
1705,wynocha,get out
1706,mówiłaś,you talked
1707,nikim,nobody
1708,jasna,bright
1709,słońca,sunset
1710,oczach,eyes
1711,dobrej,good
1712,nr,number
1713,jerry,jerry
1714,m,m
1715,względu,subsequently
1716,krok,step
1717,żart,joke
1718,musze,I have to
1719,zgadzam,agree
1720,prezydent,President
1721,rodzinie,family
1722,wyjścia,exit
1723,gówna,shy
1724,niebezpieczne,dangerous
1725,pistolet,gun
1726,państwo,country
1727,drugim,second
1728,dziećmi,children
1729,miałbym,I would have
1730,zgoda,agreement
1731,odebrać,to pick up
1732,wyglądają,look
1733,dupy,dump
1734,udział,participation
1735,mego,my
1736,grupa,group
1737,lunch,lunch
1738,inną,other
1739,wygrać,win
1740,zeszłym,last
1741,nowych,new
1742,sytuacja,situation
1743,wiary,faith
1744,pory,pores
1745,ostatnim,last
1746,raport,report
1747,niespodzianka,surprise
1748,statku,ship
1749,różnica,difference
1750,poruczniku,lieutenant
1751,chłopca,boy
1752,zrobiliśmy,we did
1753,problemów,problem
1754,jane,jane
1755,lekarz,doctor
1756,metrów,meters
1757,listy,letters
1758,czuć,feel
1759,jedziesz,you are driving
1760,miła,nice
1761,trzyma,hold
1762,obraz,image
1763,dzwonił,he called
1764,przejmuj,worry
1765,wóz,car
1766,p,p
1767,liczy,count
1768,fakt,fact
1769,kate,kate
1770,straciłem,I lost
1771,zostaje,bey
1772,znalazłam,I found
1773,komu,whom
1774,powietrze,air
1775,szefem,chief
1776,mózgu,brain
1777,poszła,She went
1778,dostanie,get
1779,biorę,take
1780,dave,dave
1781,cisza,silence
1782,twierdzi,claims
1783,sprawia,makes
1784,wydostać,get out
1785,wewnątrz,inside
1786,wychodzę,come out
1787,zmęczony,tired
1788,mil,mile
1789,widok,view
1790,pozbyć,get rid of
1791,dupku,dump
1792,długi,long
1793,idą,go
1794,iż,that
1795,pozwoli,will
1796,lecieć,fly
1797,korekta,adjustment
1798,ładny,nice
1799,piłkę,ball
1800,pułkowniku,colonel
1801,kłopotów,troubles
1802,towar,commodity
1803,poradzę,I can handle
1804,klasy,class
1805,lubią,they like
1806,karty,card
1807,dziwnie,strangely
1808,inna,other
1809,radio,radio
1810,interesuje,interest
1811,znaczyć,mean
1812,wyjście,Exit
1813,możliwości,possibilities
1814,prawdy,truth
1815,abym,for
1816,bawić,entertain
1817,prawdziwym,trivial
1818,nadchodzi,comes
1819,widzieliśmy,we saw
1820,daję,gives
1821,małym,small
1822,ziemia,Earth
1823,ah,ah
1824,własnej,own
1825,oczu,eyes
1826,przyznać,admit
1827,staje,standing
1828,pić,drink
1829,następnego,next
1830,ojcu,father
1831,will,will
1832,indziej,elsewhere
1833,oglądać,to watch
1834,zaczynam,I start
1835,zabiorę,I'll take
1836,zacznie,willing
1837,bratem,brother
1838,akurat,just
1839,dupek,asshole
1840,uwagi,comments
1841,wujek,uncle
1842,drogą,way
1843,uciekać,run away
1844,zastanawiam,I'm thinking
1845,kierunku,direction
1846,wrócimy,we will come back
1847,myślicie,you think
1848,prowadzić,to lead
1849,bój,funk
1850,mówimy,we speak
1851,obaj,both
1852,pojechać,go
1853,przyszedłeś,you came
1854,okolicy,area
1855,kwiaty,flowers
1856,wyjechać,to leave
1857,zamknięte,closed
1858,punkt,point
1859,facetów,guys
1860,bank,bank
1861,pospiesz,hurry
1862,szkodzi,harm
1863,bierze,takes
1864,mózg,brain
1865,daleka,far
1866,your,your
1867,miliony,millions
1868,język,tongue
1869,kotku,Kitty
1870,wydarzyło,happened
1871,zaczęło,began
1872,wsiadaj,go
1873,absolutnie,absolutely
1874,sygnał,signal
1875,umrze,die
1876,biuro,office
1877,milion,million
1878,dane,data
1879,kości,bones
1880,jezus,Jesus
1881,rzeczą,thing
1882,mówili,they said
1883,wujku,uncle
1884,skończyłem,I finished
1885,tatuś,daddy
1886,śmiało,boldly
1887,najlepsza,best
1888,żadna,none
1889,wyluzuj,deposit
1890,psy,dogs
1891,ubrania,Clothes
1892,niektóre,some
1893,innej,another
1894,rozmawialiśmy,we talked
1895,kontakt,contact
1896,zobaczyłem,I saw
1897,łódź,Łódź
1898,taty,daddy
1899,pytam,I'm asking
1900,żył,vein
1901,biegnij,run
1902,myślałeś,you thought
1903,zmienia,change
1904,wiatr,wind
1905,żyję,lives
1906,czasy,times
1907,pomyślałam,I thought
1908,cholerny,damn
1909,znaleźli,they found
1910,kasy,cash register
1911,chronić,protect
1912,laboratorium,lab
1913,potrzebne,necessary
1914,zmieni,change
1915,dostałeś,you got
1916,powiedzmy,let's say
1917,wolność,freedom
1918,moge,I can
1919,rękach,hands
1920,interesy,interest
1921,kolejne,next
1922,cos,something
1923,amen,Amen
1924,dniu,day
1925,śpi,sleeps
1926,czułem,felt
1927,uciekł,fled
1928,mark,Mark
1929,okropne,terrible
1930,waszej,yours
1931,gorąco,hot
1932,walka,fight
1933,akcji,action
1934,sto,hundred
1935,przyjdę,come
1936,własny,own
1937,kazał,order
1938,stracić,lose
1939,dzwoni,is calling
1940,cholernie,damned
1941,rozmawiałem,I was talking
1942,drugiego,second
1943,tamtej,that
1944,zaufaj,trust
1945,czytać,to read
1946,wraz,together
1947,państwa,countries
1948,szczególnie,especially
1949,każde,every
1950,sprzedać,sell
1951,spytać,ask
1952,woli,will
1953,wysłać,send
1954,wiec,so
1955,przypadek,case
1956,angeles,angeles
1957,ducha,ghost
1958,czekają,they are waiting
1959,chris,chris
1960,doktora,doctor
1961,spróbuję,I will try
1962,wyglądać,look
1963,naprawić,to fix
1964,larry,larry
1965,posłuchać,listen
1966,zobaczy,see
1967,duża,big
1968,przypadku,case
1969,przyjechał,he came
1970,wróć,back
1971,dowody,evidence
1972,pomożesz,you will help
1973,ostatnią,final
1974,szlag,damn
1975,wybrać,to choose
1976,swoimi,with his
1977,wracamy,we return
1978,nazywają,call
1979,umysł,mind
1980,podróży,travels
1981,pomyśleć,think
1982,gadać,talk
1983,nóż,knife
1984,andy,Andy
1985,różnych,various
1986,mężem,husband
1987,richard,Richard
1988,rozkazy,orders
1989,armii,army
1990,badania,tests
1991,ameryki,America
1992,niebo,sky
1993,musiałam,I had to
1994,jestes,Are you
1995,strach,fear
1996,uczyć,teach
1997,bycie,being
1998,charles,charles
1999,zmarł,He died
2000,wierzy,believe
